bidx	ep	loss_act_b	loss_reg_b	loss_actor_b	loss_critic_b	loss_all
10	53	0.0011267246445640922	0.003038182854652405	-0.02192831039428711	0.8869131803512573	0.8691498041152954
11	53	0.001260694582015276	0.0030700836796313524	0.07261380553245544	0.6806922554969788	0.7576368451118469
12	53	0.0011250574607402086	0.0028315959498286247	-0.05253373086452484	0.7935976386070251	0.7450205683708191
13	53	0.0011115455999970436	0.00317292008548975	-0.2213820070028305	0.9514169692993164	0.7343194484710693
14	53	0.001064726267941296	0.0027494877576828003	-0.03186694532632828	1.2058066129684448	1.1777539253234863
15	53	0.0011991603532806039	0.002759398426860571	0.6369189023971558	1.0860540866851807	1.7269315719604492
0	54	0.0010353602701798081	0.002752901054918766	0.8521595597267151	1.0066633224487305	1.8626110553741455
1	54	0.0012839266564697027	0.0030459475237876177	0.49963653087615967	0.7551981210708618	1.259164571762085
2	54	0.0011917994124814868	0.00279324222356081	-0.16777125000953674	1.3283759355545044	1.164589762687683
3	54	0.0011744130169972777	0.002909138798713684	-0.878505527973175	0.9901822805404663	0.11576032638549805
4	54	0.0009990704711526632	0.00270661199465394	-1.1220394372940063	0.6295835971832275	-0.4887501001358032
5	54	0.0010865313233807683	0.003003808669745922	-1.2473207712173462	0.8591212034225464	-0.3841092586517334
6	54	0.03742784261703491	0.004639683291316032	-1.261151909828186	0.8410306572914124	-0.3780537247657776
7	54	0.0010810352396219969	0.0026276507414877415	-1.1006730794906616	1.155119776725769	0.05815541744232178
8	54	0.0010399576276540756	0.002816783729940653	-0.6843183040618896	0.9492948651313782	0.2688332796096802
9	54	0.0008794168243184686	0.0026406878605484962	-0.11692334711551666	0.7939918637275696	0.6805886030197144
10	54	0.0009487260249443352	0.0026058440562337637	0.7126697897911072	0.9271617531776428	1.6433861255645752
11	54	0.0009548255475237966	0.002334956079721451	0.8488174080848694	1.419244408607483	2.2713515758514404
12	54	0.0008928109891712666	0.0027541036251932383	0.7731520533561707	0.5771898627281189	1.3539888858795166
13	54	0.0009388423641212285	0.0023785564117133617	0.16661041975021362	1.4858425855636597	1.6557704210281372
14	54	0.0010942465160042048	0.002840362722054124	-0.241062730550766	1.0140788555145264	0.7769507169723511
15	54	0.0008721197373233736	0.0025691024493426085	-0.12810118496418	0.7334524393081665	0.6087924838066101
0	55	0.0008829692378640175	0.0027684802189469337	-0.06918288767337799	0.9125471711158752	0.8470157384872437
1	55	0.0008257859735749662	0.0025757483672350645	0.3758408725261688	1.0870816707611084	1.4663240909576416
2	55	0.0009022770682349801	0.002679528435692191	0.6688529253005981	1.10373055934906	1.776165246963501
3	55	0.0009709045407362282	0.002579687861725688	0.17489561438560486	0.7292128801345825	0.9076590538024902
4	55	0.0008958514663390815	0.0026031630113720894	-0.5217517614364624	0.5218213796615601	0.0035686492919921875
5	55	0.0007181641994975507	0.002698958618566394	-1.3940197229385376	1.1479321718215942	-0.24267041683197021
6	55	0.0007816895376890898	0.0023825860116630793	-0.9696400761604309	1.0243741273880005	0.05789834260940552
7	55	0.0007840342004783452	0.002492472529411316	-0.5749027132987976	1.1315420866012573	0.5599159002304077
8	55	0.0007266546599566936	0.0024259830825030804	-0.36031574010849	0.7226347327232361	0.36547163128852844
9	55	0.0006995886797085404	0.0026322149205952883	0.14781640470027924	0.7579370737075806	0.9090852737426758
10	55	0.0008003392140381038	0.0025884020142257214	0.26646724343299866	0.7533882856369019	1.0232442617416382
11	55	0.0007819879683665931	0.00244344025850296	-0.13011251389980316	0.5898580551147461	0.4629709720611572
12	55	0.0006873221718706191	0.0029372377321124077	-1.24431312084198	0.9378646612167358	-0.30282390117645264
13	55	0.0006578329484909773	0.0028057252056896687	-1.2866934537887573	0.7109922170639038	-0.5722377300262451
14	55	0.03522776439785957	0.0033021019771695137	-1.7770471572875977	0.8597921133041382	-0.8787251710891724
15	55	0.0006473877001553774	0.0023601558059453964	-1.869701623916626	0.5462346076965332	-1.3204594850540161
0	56	0.0007737954729236662	0.0025683785788714886	-0.8541892170906067	0.9429692625999451	0.09212219715118408
1	56	0.0008072329219430685	0.0027478672564029694	-0.2835109233856201	0.7343520522117615	0.45439621806144714
2	56	0.0007416664157062769	0.0028603915125131607	0.6136587858200073	0.7885754704475403	1.4058363437652588
3	56	0.03255235403776169	0.0035346439108252525	0.4706546366214752	0.5868969559669495	1.0936386585235596
4	56	0.0006686464184895158	0.002789673861116171	0.8265277743339539	1.1056946516036987	1.9356807470321655
5	56	0.0009214975871145725	0.0030464103911072016	-0.41828370094299316	0.5077173709869385	0.09340158104896545
6	56	0.001021453645080328	0.003159955609589815	-1.4217737913131714	0.41381439566612244	-1.0037779808044434
7	56	0.0013414028799161315	0.003054474014788866	-2.4471640586853027	0.5959683656692505	-1.8467997312545776
8	56	0.001155607751570642	0.0032932779286056757	-2.895092248916626	0.5771340131759644	-2.313509464263916
9	56	0.0013017748715355992	0.003147908952087164	-2.6561946868896484	1.23062264919281	-1.421122431755066
10	56	0.0013152793981134892	0.003253576345741749	-2.2549238204956055	0.8384687304496765	-1.411886215209961
11	56	0.0011487335432320833	0.0032357429154217243	-1.7265100479125977	0.6505888104438782	-1.0715367794036865
12	56	0.0013005259679630399	0.004772329702973366	-0.811189591884613	0.49823471903800964	-0.30688199400901794
13	56	0.0016105619724839926	0.006298375315964222	-0.32774415612220764	0.8173081874847412	0.49747297167778015
14	56	0.0014656282728537917	0.010046401061117649	0.055508531630039215	0.9741682410240173	1.0411888360977173
15	56	0.0033546118065714836	0.0129792969673872	0.2284463346004486	1.4305193424224854	1.6752996444702148
0	57	0.003321232507005334	0.013659654185175896	0.28956180810928345	2.2193374633789062	2.5258800983428955
1	57	0.006080922205001116	0.01752551831305027	-0.25269171595573425	1.3490675687789917	1.1199822425842285
2	57	0.008541367016732693	0.01717551425099373	-0.2995662987232208	0.9725605845451355	0.6987111568450928
3	57	0.011021913960576057	0.015555376186966896	-0.13497841358184814	1.0636013746261597	0.9552002549171448
4	57	0.01498515997081995	0.01325555145740509	-0.28209173679351807	0.8587135076522827	0.6048624515533447
5	57	0.017616501078009605	0.013476947322487831	-0.26871904730796814	0.6293835043907166	0.39175790548324585
6	57	0.012609768658876419	0.01266106590628624	-0.19056159257888794	0.8556187748908997	0.6903280019760132
7	57	0.0154564268887043	0.012150170281529427	-0.14514756202697754	0.6991748213768005	0.5816338658332825
8	57	0.015562311746180058	0.01165580190718174	-0.12418146431446075	1.0161925554275513	0.9192292094230652
9	57	0.013126888312399387	0.009994097985327244	-0.11537675559520721	0.8420851826667786	0.7498294115066528
10	57	0.009417392313480377	0.008936390280723572	-0.22634965181350708	0.9037421941757202	0.6957463026046753
11	57	0.008437915705144405	0.008611165918409824	-0.18946987390518188	0.8558874130249023	0.6834666132926941
12	57	0.0396306999027729	0.008127741515636444	-0.3587515652179718	0.8184739351272583	0.507480800151825
13	57	0.005717117339372635	0.006789549253880978	-0.2330394685268402	0.8320261240005493	0.6114933490753174
14	57	0.004229063168168068	0.006538965739309788	-0.24800051748752594	0.8586176633834839	0.6213851571083069
15	57	0.0018757604993879795	0.006807361729443073	-0.48206576704978943	0.8489096760749817	0.375527024269104
0	58	0.0016637282678857446	0.007332302629947662	-0.37616854906082153	0.7047503590583801	0.33757784962654114
1	58	0.0013418089365586638	0.007970656268298626	-0.5766035318374634	1.4450914859771729	0.8778004050254822
2	58	0.001013252418488264	0.007026700768619776	-0.8348309397697449	0.7665783166885376	-0.060212671756744385
